description,location,date,bedroom,bathroom,price
4 bedroom semi-detached duplex for sale,"  Kota Villa Estate Rd 32., Lekki, Lagos",Added on 15 May 2020,4,4,"49,000,000"
?,"  Kota Villa Estate Rd 32., Lekki, Lagos",?,4,4,"49,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Drive Estate, Lekki Expressway, Lekki, Lagos",Added on 15 May 2020,4,5,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Ologolo, Lekki, Lagos",Added on 15 May 2020,4,4,"45,000,000"
4 bedroom semi-detached duplex for sale,"  Ajiwe, Ajah, Lagos",Added on 15 May 2020,4,5,"40,000,000"
4 bedroom semi-detached duplex for sale,"  Ologolo, Lekki, Lagos",Added on 15 May 2020,4,4,"45,000,000"
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",Added on 21 Apr 2020,5,6,"120,000,000"
4 bedroom semi-detached duplex for sale,"  Agungi, Lekki, Lagos",Added on 15 May 2020,4,4,"47,000,000"
4 bedroom semi-detached duplex for sale,"  By Chevron, Lekki Expressway, Lekki, Lagos",Added on 15 May 2020,4,5,"58,000,000"
5 bedroom detached duplex for sale,"  Jahi By Gilmore, Jahi, Abuja",Added on 15 May 2020,5,6,"160,000,000"
7 bedroom house for sale,"  Lekki, Lagos",Added on 15 May 2020,7,6,"280,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Gardens, Ikate Elegushi, Lekki, Lagos",Added on 15 May 2020,4,4,"54,000,000"
4 bedroom terraced duplex for sale,"  Orchid Road, Lekki, Lagos",Added on 15 May 2020,4,5,"40,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Sapata Road- Applewood3 Estate, VGC, Lekki, Lagos",Added on 15 May 2020,4,,"40,000,000"
5 bedroom detached duplex for sale,"  Eti-osa Sangotedo Monastery Road Fountain Springs Estate, Sangotedo, Ajah, Lagos",Added on 15 May 2020,5,6,"65,000,000"
4 bedroom detached duplex for sale,"  Galadimawa, Abuja",Added on 15 May 2020,4,5,"40,000,000"
4 bedroom detached bungalow for sale,"  Off Okporo Road By 1st Artillery, Rumuogba, Port Harcourt, Rivers",Added on 15 May 2020,4,4,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Phase 2, Lekki, Lagos",Added on 31 Mar 2020,4,4,"43,000,000"
4 bedroom detached duplex for sale,"  Ikota Villa Estate, Lekki Phase 2, Lekki, Lagos",Added on 31 Mar 2020,4,4,"65,000,000"
4 bedroom detached duplex for sale,"  Orchid Road, Lekki Expressway, Lekki, Lagos",Added on 14 May 2020,4,4,"65,000,000"
3 bedroom block of flats for sale,"  Before Blenco Supermarket, Sangotedo, Ajah, Lagos",Added on 14 May 2020,3,5,"38,000,000"
5 bedroom detached duplex for sale,"  Carlton Gate Estate Off Chevron Drive, Idado, Lekki, Lagos",Added on 14 May 2020,5,5,"260,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron, Igbo Efon, Lekki, Lagos",Added on 14 May 2020,4,4,"55,000,000"
?,"  Chevron, Igbo Efon, Lekki, Lagos",?,4,4,"55,000,000"
5 bedroom detached duplex for sale,"  Gra Phase 1 Isheri, Magodo, Lagos",Added on 02 Mar 2020,5,5,"80,000,000"
5 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 14 May 2020,5,5,"68,000,000"
3 bedroom detached duplex for sale,"  New Oko-Oba, Agege, Lagos",Added on 14 May 2020,3,5,"10,000,000"
4 bedroom detached duplex for sale,"  Chevron Alternative Drive., Lekki Expressway, Lekki, Lagos",Added on 14 May 2020,4,5,"75,000,000"
5 bedroom detached duplex for sale,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",Added on 14 May 2020,5,5,"150,000,000"
4 bedroom terraced duplex for sale,"  Lafiaji, Lekki, Lagos",Added on 14 May 2020,4,4,"40,000,000"
5 bedroom detached duplex for sale,"  Pearl Garden Estate Along Monastery Road, Sangotedo, VGC, Lekki, Lagos",Added on 14 May 2020,5,7,"57,000,000"
3 bedroom block of flats for sale,"  Bemil Estate, Ojodu, Lagos",Added on 14 May 2020,3,3,"43,500,000"
4 bedroom semi-detached duplex for sale,"  Oral Estate, Ikota, Lekki, Lagos",Added on 14 May 2020,4,4,"55,000,000"
5 bedroom detached duplex for sale,"  Greenfield Estate, Opic, Isheri North, Lagos",Added on 14 May 2020,5,5,"50,000,000"
5 bedroom detached duplex for sale,"  Sangotedo, Ajah, Lagos",Added on 14 May 2020,5,6,"57,000,000"
?,,?,,,
5 bedroom house for sale,"  Ikate, Lekki, Lagos",Added on 26 Aug 2020,5,6,"130,000,000"
5 bedroom detached duplex for sale,"  Lekky County Home, Lekki Expressway, Lekki, Lagos",Added on 14 May 2020,5,5,"90,000,000"
5 bedroom detached duplex for sale,"  Pearl Garden, Monastery Road, Lekki, Lagos",Added on 14 May 2020,5,5,"57,000,000"
4 bedroom semi-detached duplex for sale,"  Katampe Extension, Katampe, Abuja",Added on 14 May 2020,4,4,"150,000,000"
4 bedroom semi-detached duplex for sale,"  GRA, Magodo, Lagos",Added on 13 May 2020,4,4,"50,000,000"
5 bedroom detached duplex for sale,"  Royal Garden Estate Lekki-ajah, Lekki Phase 2, Lekki, Lagos",Added on 13 May 2020,5,5,"120,000,000"
4 bedroom house for sale,"  Agungi, Lekki, Lagos",Added on 13 May 2020,4,4,"70,000,000"
6 bedroom detached duplex for sale,"  Peal Garden Monastery Road Close To Shoprite, Sangotedo, Ajah, Lagos",Added on 13 May 2020,6,5,"57,000,000"
7 bedroom detached duplex for sale,"  First Avenue, Festac, Amuwo Odofin, Lagos",Added on 13 May 2020,7,6,"190,000,000"
4 bedroom house for sale,"  Isolo, Lagos",Added on 13 May 2020,4,4,"50,000,000"
?,"  Isolo, Lagos",?,4,4,"50,000,000"
4 bedroom semi-detached duplex for sale,"  Lento, Life Camp, Abuja",Added on 13 May 2020,4,4,"350,000,000"
3 bedroom detached bungalow for sale,"  Bogije, Ibeju Lekki, Lagos",Added on 13 May 2020,3,3,"16,000,000"
4 bedroom detached duplex for sale,"  Arcadia Groove Estate, Lekki, Lagos",Added on 13 May 2020,4,5,"290,000,000"
5 bedroom detached duplex for sale,"  Sangotedo, Ajah, Lagos",Added on 13 May 2020,5,5,"57,000,000"
3 bedroom detached bungalow for sale,"  Bogije, Ibeju Lekki, Lagos",Added on 13 May 2020,3,5,"19,299,375"
5 bedroom detached duplex for sale,"  Pinnock Beach Estate, Lekki, Lagos",Added on 13 May 2020,5,6,"400,000,000"
4 bedroom detached duplex for sale,"  Pinnock Estate, Osapa, Lekki, Lagos",Added on 13 May 2020,4,5,"195,000,000"
5 bedroom semi-detached duplex for sale,"  Ikoyi, Lagos",Added on 13 May 2020,5,5,"350,000,000"
4 bedroom block of flats for sale,"  Adebayo Dorherty Street, Lekki Phase 1, Lekki, Lagos",Added on 13 May 2020,4,5,"600,000,000"
4 bedroom detached duplex for sale,"  Thomas Estate,, Ajah, Lagos",Added on 19 Apr 2020,4,4,"53,000,000"
3 bedroom detached bungalow for sale,"  Ipakodo Road, Ebute, Ikorodu, Lagos",Added on 13 May 2020,3,3,"18,000,000"
?,,?,,,
5 bedroom semi-detached duplex for sale,"  Plot 2785, End Of Linda Chalker Street, Asokoro District, Abuja",Added on 23 Jun 2020,5,5,"170,000,000"
4 bedroom semi-detached duplex for sale,"  Crown Estate, Sangotedo, Ajah, Lagos",Added on 13 May 2020,4,5,"40,000,000"
3 bedroom terraced duplex for sale,"  Directly Opposite The Abuja Model City Gate. Charly Boy Residence, Dawaki, Gwarinpa, Abuja",Added on 13 May 2020,3,4,"27,000,000"
6 bedroom terraced duplex for sale,"  District, Life Camp, Abuja",Added on 13 May 2020,6,6,"58,000,000"
3 bedroom semi-detached bungalow for sale,"  Haven Residence Scheme One, Gra, Abijo, Lekki, Lagos",Added on 25 Apr 2020,3,4,"20,000,000"
4 bedroom detached duplex for sale,"  GRA, Magodo, Lagos",Added on 13 May 2020,4,4,"150,000,000"
4 bedroom terraced duplex for sale,"  Lekki, Lagos",Added on 13 May 2020,4,4,"95,000,000"
4 bedroom detached duplex for sale,"  Oko-oba, Agege, Lagos",Added on 13 May 2020,4,4,"65,000,000"
4 bedroom terraced duplex for sale,"  Oniru, Victoria Island (VI), Lagos",Added on 13 May 2020,4,4,"90,000,000"
5 bedroom detached duplex for sale,"  Banana Island, Ikoyi, Lagos",Added on 13 May 2020,5,4,"850,000,000"
?,"  Banana Island, Ikoyi, Lagos",?,5,4,"850,000,000"
5 bedroom detached duplex for sale,"  GRA, Magodo, Lagos",Added on 13 May 2020,5,5,"165,000,000"
5 bedroom semi-detached duplex for sale,"  Close To Mayfair Garden, Oribanwa, Ibeju Lekki, Lagos",Added on 13 May 2020,5,5,"30,000,000"
3 bedroom terraced duplex for sale,"  Banana Island, Ikoyi, Lagos",Added on 13 May 2020,3,3,"250,000,000"
3 bedroom terraced duplex for sale,"  Richmond Estate, Lekki Phase 1, Lekki, Lagos",Added on 13 May 2020,3,3,"75,000,000"
7 bedroom detached duplex for sale,"  Amikanle Bus Stop, Ait Road, Kola Alagbado, Meiran, Agege, Lagos",Added on 13 May 2020,7,8,"45,000,000"
2 bedroom block of flats for sale,"  Cele Bus Stop Oke Eletu, Ijede, Lagos",Added on 13 May 2020,2,8,"45,000,000"
5 bedroom detached duplex for sale,"  Omole Phase 1, Ikeja, Lagos",Added on 02 Mar 2020,5,5,"90,000,000"
4 bedroom detached duplex for sale,"  GRA, Magodo, Lagos",Added on 06 Mar 2020,4,4,"90,000,000"
3 bedroom semi-detached duplex for sale,"  Abule Egba, Ikeja, Lagos",Added on 20 Mar 2020,3,3,"35,000,000"
4 bedroom semi-detached duplex for sale,"  Off Fola Osibo, Lekki Phase 1, Lekki, Lagos",Added on 13 May 2020,4,4,"140,000,000"
3 bedroom semi-detached duplex for sale,"  Thomas Estate, Ajah, Lagos",Added on 13 May 2020,3,4,"35,000,000"
?,,?,,,
5 bedroom semi-detached duplex for sale,"  Plot 2785, End Of Linda Chalker Street, Asokoro District, Abuja",Added on 23 Jun 2020,5,5,"170,000,000"
4 bedroom semi-detached duplex for sale,"  Creek Avenue Court, Ikota, Lekki, Lagos",Added on 13 May 2020,4,5,"46,000,000"
4 bedroom terraced duplex for sale,"  Lafiaji Road, Orchid, 2nd Toll Gate, Lekki, Lafiaji, Lekki, Lagos",Added on 02 Mar 2020,4,4,"38,000,000"
3 bedroom terraced bungalow for sale,"  Beechwood Park Estate, Ibeju Lekki, Lagos",Added on 05 Mar 2020,3,2,"19,300,000"
2 bedroom terraced bungalow for sale,"  Beechwood Park Estate, Lakowe, Ibeju Lekki, Lagos",Added on 05 Mar 2020,2,1,"15,900,000"
4 bedroom terraced duplex for sale,"  5 Mins From Ajah Roundabout., Ado, Ajah, Lagos",Added on 09 Mar 2020,4,4,"35,000,000"
5 bedroom detached duplex for sale,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 12 May 2020,5,5,"150,000,000"
4 bedroom terraced duplex for sale,"  Royal Garden Estate, Ajah, Lagos",Added on 12 May 2020,4,4,"90,000,000"
Detached duplex for sale,"  Ogudu, Lagos",Added on 12 May 2020,4,4,"40,000,000"
5 bedroom detached duplex for sale,"  Lekki County Estate., Ikota, Lekki, Lagos",Added on 12 May 2020,5,5,"75,000,000"
?,"  Lekki County Estate., Ikota, Lekki, Lagos",?,5,5,"75,000,000"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 12 May 2020,5,6,"150,000,000"
5 bedroom detached duplex for sale,"  Lekki, Lagos",Added on 12 May 2020,5,6,"95,000,000"
4 bedroom terraced duplex for sale,"  Chevron, Lekki Expressway, Lekki, Lagos",Added on 08 May 2020,4,4,"40,000,000"
3 bedroom semi-detached duplex for sale,"  Metro Homes By General Paints Bus Stop, Ajiwe, Ajah, Lagos",Added on 12 May 2020,3,3,"38,000,000"
4 bedroom detached duplex for sale,"  Behind Tantalizer, Lekki Phase 1, Lekki, Lagos",Added on 12 May 2020,4,3,"165,000,000"
5 bedroom detached duplex for sale,"  Periwinkle Lifestyle Estate, End Of Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 12 May 2020,5,6,"234,000,000"
4 bedroom detached duplex for sale,"  Ait Area, Alakuko, Ifako-Ijaiye, Lagos",Added on 12 May 2020,4,3,"13,000,000"
6 bedroom detached duplex for sale,"  Ikoyi, Lagos",Added on 12 May 2020,6,7,"1,100,000,000"
4 bedroom terraced duplex for sale,"  Ikoyi, Lagos",Added on 12 May 2020,4,5,"300,000,000"
3 bedroom house for sale,"  Beechwood Park Bogije, Lekki, Lagos",Added on 12 May 2020,3,3,"19,299,375"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 12 May 2020,5,6,"150,000,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Earl's Court Estate, Lekki Phase 1, Lekki, Lagos",Added on 12 Nov 2019,4,4,"119,000,000"
5 bedroom detached duplex for sale,"  Ikoyi, Lagos",Added on 12 May 2020,5,6,"430,000,000"
3 bedroom block of flats for sale,"  Igando, Akesan, Alimosho, Lagos",Added on 12 May 2020,3,3,"13,000,000"
4 bedroom detached duplex for sale,"  Thomas Estate, Ajah, Lagos",Added on 12 May 2020,4,4,"40,000,000"
4 bedroom terraced bungalow for sale,"  Urban Prime 2 Estate, Ajah, Lagos",Added on 12 May 2020,4,4,"55,000,000"
4 bedroom semi-detached duplex for sale,"  Osapa, Lekki, Lagos",Added on 12 May 2020,4,5,"70,000,000"
3 bedroom terraced duplex for sale,"  Sangotedo, Lekki, Lagos",Added on 15 Mar 2020,3,4,"27,700,000"
3 bedroom house for sale,"  Alakia Airport Axis Ibadan, Egbeda, Oyo",Added on 11 May 2020,3,4,"12,000,000"
4 bedroom terraced bungalow for sale,"  Alakia Airport Axis Ibadan, Egbeda, Oyo",Added on 11 May 2020,4,4,"9,000,000"
5 bedroom detached duplex for sale,"  Omole Phase 2, Ikeja, Lagos",Added on 06 Mar 2020,5,5,"100,000,000"
?,"  Omole Phase 2, Ikeja, Lagos",?,5,5,"100,000,000"
4 bedroom semi-detached bungalow for sale,"  Bogije, Lekki- Epe Expressway, Lekki Free Trade Zone, Lekki, Lagos",Added on 11 May 2020,4,3,"5,200,000"
7 bedroom detached duplex for sale,"  Upper North 7th, Trans Ekulu, Enugu, Enugu",Added on 11 May 2020,7,3,"25,000,000"
5 bedroom detached duplex for sale,"  Efab Metropolis, Karsana, Abuja",Added on 11 May 2020,5,7,"100,000,000"
9 bedroom house for sale,"  Maitama District, Abuja",Added on 11 May 2020,9,10,"1,500,000,000"
3 bedroom terraced duplex for sale,"  Bella Homes 1, Close To Chevron Toll Gate Axis, Lekki, Lagos",Added on 11 May 2020,3,10,"33,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 11 May 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Off Ligali Ayorinde, Victoria Island Extension, Victoria Island (VI), Lagos",Added on 11 May 2020,4,4,"400,000,000"
1 bedroom block of flats for sale,"  Iju Ishaga, Ifako-Ijaiye, Lagos",Added on 11 May 2020,1,4,"30,000,000"
7 bedroom house for sale,"  Available On Request, Olokonla, Ajah, Lagos",Added on 11 May 2020,7,6,"55,000,000"
Detached duplex for sale,"  Osapa London, Osapa, Lekki, Lagos",Added on 11 May 2020,7,6,"110,000,000"
4 bedroom terraced duplex for sale,"  Palace, Oniru, Victoria Island (VI), Lagos",Added on 11 May 2020,4,4,"120,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Lekki County Homes, Ikota, Lekki, Lagos",Added on 10 Aug 2020,4,5,"38,000,000"
6 bedroom house for sale,"  Gwarinpa, Abuja",Added on 11 May 2020,6,5,"300,000,000"
5 bedroom semi-detached duplex for sale,"  Right, Lekki Phase 1, Lekki, Lagos",Added on 11 May 2020,5,5,"150,000,000"
4 bedroom detached duplex for sale,"  2nd Lekki Tollgate, Ikota, Lekki, Lagos",Added on 11 May 2020,4,4,"48,000,000"
5 bedroom detached duplex for sale,"  Lekki County Home, Ikota, Lekki, Lagos",Added on 11 May 2020,5,5,"80,000,000"
3 bedroom terraced duplex for sale,"  Banana Island, Banana Island, Ikoyi, Lagos",Added on 11 May 2020,3,3,"270,000,000"
4 bedroom detached duplex for sale,"  Right Close To Ebano Market, Lekki Phase 1, Lekki, Lagos",Added on 11 May 2020,4,5,"120,000,000"
5 bedroom detached duplex for sale,"  Lekki County Homes, Ikota, Lekki, Lagos",Added on 11 May 2020,5,5,"90,000,000"
4 bedroom semi-detached duplex for sale,"  Ikota-lekki, Lekki, Lagos",Added on 11 May 2020,4,4,"35,000,000"
6 bedroom terraced bungalow for sale,"  Gowon Estate, Ayobo, Lagos",Added on 11 May 2020,6,6,"60,000,000"
?,"  Gowon Estate, Ayobo, Lagos",?,6,6,"60,000,000"
3 bedroom terraced duplex for sale,"  Monastery Road, Novare Mall, Sangotedo, Lekki Expressway, Lekki, Lagos",Added on 07 May 2020,3,4,"38,950,750"
Terraced duplex for sale,"  Ondo Street New Bodija Estate, New Bodija, Ibadan, Oyo",Added on 11 May 2020,3,4,"100,000,000"
4 bedroom terraced duplex for sale,"  Iroko Awe, Opp. Nicon Town, Ikate, Ilasan, Lekki, Lagos",Added on 17 Apr 2020,4,5,"65,000,000"
5 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 06 May 2020,5,5,"145,000,000"
Block of flats for sale,"  Alakia Airport Area Ibadan Off Old Ife Road., Egbeda, Oyo",Added on 11 May 2020,5,5,"30,000,000"
6 bedroom detached duplex for sale,"  Bera Estate, VGC, Lekki, Lagos",Added on 11 May 2020,6,6,"120,000,000"
8 bedroom block of flats for sale,"  Opposite Orimerunmu Community Hospital, Orimerunmu, Ibafo, Ogun",Added on 11 May 2020,8,8,"17,000,000"
4 bedroom semi-detached duplex for sale,"  Ajah, Lagos",Added on 27 Apr 2020,4,4,"42,000,000"
4 bedroom house for sale,"  Horizon Heights, Ikate Elegushi, Lekki, Lagos",Added on 11 May 2020,4,5,"47,000,000"
4 bedroom terraced duplex for sale,"  Jakande, Lekki, Lagos",Added on 11 Mar 2020,4,4,"60,000,000"
4 bedroom semi-detached duplex for sale,"  Jakande, Lekki, Lagos",Added on 11 Mar 2020,4,5,"80,000,000"
?,,?,,,
5 bedroom house for sale,"  Ikate, Lekki, Lagos",Added on 26 Aug 2020,5,6,"130,000,000"
4 bedroom detached duplex for sale,"  Bera Estate, Lekki Phase 1, Lekki, Lagos",Added on 11 Mar 2020,4,5,"65,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 13 Mar 2020,4,5,"60,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 13 Mar 2020,4,5,"58,000,000"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 13 Mar 2020,5,6,"250,000,000"
4 bedroom detached duplex for sale,"  Victory Park Estate, Ajah, Lagos",Added on 16 Mar 2020,4,5,"55,000,000"
5 bedroom house for sale,"  Old Ikoyi, Ikoyi, Lagos",Added on 16 Mar 2020,5,4,"480,000,000"
4 bedroom semi-detached duplex for sale,"  Cheveron Drive, Lekki, Lagos",Added on 17 Mar 2020,4,5,"50,000,000"
5 bedroom detached duplex for sale,"  Lekki, Lagos",Added on 17 Mar 2020,5,6,"68,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 11 May 2020,4,5,"120,000,000"
?,"  Lekki Phase 1, Lekki, Lagos",?,4,5,"120,000,000"
6 bedroom block of flats for sale,"  Akatapa Area Eleyele Ibadan., Ido, Oyo",Added on 11 May 2020,6,6,"10,000,000"
2 bedroom terraced duplex for sale,"  Near Abraham Adesanya Estate, Ajiwe, Ajah, Lagos",Added on 01 May 2020,2,2,"35,000,000"
4 bedroom detached duplex for sale,"  Katsina Estate, Life Camp, Abuja",Added on 10 May 2020,4,5,"70,000,000"
5 bedroom detached duplex for sale,"  Victory Park Estate, Ajah, Lagos",Added on 10 May 2020,5,5,"58,000,000"
5 bedroom house for sale,"  Kaura By Games Village, Games Village, Kaura, Abuja",Added on 10 May 2020,5,5,"110,000,000"
4 bedroom semi-detached duplex for sale,"  Chevron Area, Lekki Phase 2, Lekki, Lagos",Added on 08 May 2020,4,4,"45,000,000"
Terraced duplex for sale,"  Off Shoprite Road Osapa London, Osapa, Lekki, Lagos",Added on 10 May 2020,4,4,"35,000,000"
4 bedroom terraced duplex for sale,"  Palace Road, Oniru, Victoria Island (VI), Lagos",Added on 10 May 2020,4,4,"95,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki Phase 1, Lekki, Lagos",Added on 10 May 2020,4,4,"57,000,000"
3 bedroom block of flats for sale,"  District, Games Village, Kaura, Abuja",Added on 10 May 2020,3,3,"30,000,000"
3 bedroom detached bungalow for sale,"  Off Shagari Qtrs Dei-dei, Dei-Dei, Abuja",Added on 10 May 2020,3,4,"12,600,000"
?,,?,,,
4 bedroom semi-detached duplex for sale,"  Bera Estate Off Chevron Drive, Lekki Expressway, Lekki, Lagos",Added on 15 Aug 2020,4,4,"45,000,000"
4 bedroom detached duplex for sale,"  Opposite Lufasi Resort, Sangotedo, Ajah, Lagos",Added on 10 May 2020,4,4,"40,000,000"
3 bedroom terraced duplex for sale,"  Orchid Hotel Road, Lafiaji, Lekki, Lagos",Added on 10 May 2020,3,3,"32,000,000"
4 bedroom semi-detached duplex for sale,"  Orchid Road, Lekki, Lagos, Agungi, Lekki, Lagos",Added on 10 May 2020,4,4,"45,000,000"
3 bedroom house for sale,"  Abraham Adesanya Estate, Ajah, Lagos",Added on 10 May 2020,3,4,"38,000,000"
2 bedroom house for sale,"  Abraham Adesanya Estate, Ajah, Lagos",Added on 10 May 2020,2,4,"35,000,000"
4 bedroom semi-detached duplex for sale,"  Unilag Estate,1, Isheri, GRA, Magodo, Lagos",Added on 10 May 2020,4,5,"50,000,000"
3 bedroom terraced duplex for sale,"  Citiview Estate, Arepo, Ojodu, Lagos",Added on 10 May 2020,3,3,"35,000,000"
3 bedroom terraced duplex for sale,"  Micheville Estate, Lokogoma District, Abuja",Added on 10 May 2020,3,3,"37,600,000"
4 bedroom terraced duplex for sale,"  Guzape District, Abuja",Added on 10 May 2020,4,4,"75,000,000"
?,"  Guzape District, Abuja",?,4,4,"75,000,000"
4 bedroom detached duplex for sale,"  Shelter Afrique Estate, Uyo, Akwa Ibom",Added on 10 May 2020,4,4,"180,000,000"
4 bedroom semi-detached duplex for sale,"  Lekki Garden, Sangotedo, Ajah, Lagos",Added on 10 May 2020,4,4,"38,000,000"
4 bedroom terraced duplex for sale,"  Apo, Abuja",Added on 10 May 2020,4,4,"100,000,000"
5 bedroom detached duplex for sale,"  Alogba Estate, Ebute, Ikorodu, Lagos",Added on 13 Mar 2020,5,5,"45,000,000"
4 bedroom terraced duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 09 May 2020,4,4,"160,000,000"
4 bedroom semi-detached duplex for sale,"  Igbo Efon, Lekki, Lagos",Added on 07 May 2020,4,4,"47,500,000"
4 bedroom house for sale,"  Off Adebayo Doherty, Lekki Phase 1, Lekki, Lagos",Added on 09 May 2020,4,4,"95,000,000"
5 bedroom semi-detached duplex for sale,"  Awoyaya, Ajah-lekki, Sangotedo, Ajah, Lagos",Added on 09 May 2020,5,4,"27,300,000"
3 bedroom detached bungalow for sale,"  Richland Estate, Bogije, Ibeju Lekki, Lagos",Added on 09 May 2020,3,3,"16,000,000"
4 bedroom detached duplex for sale,"  Ikota, Lekki, Lagos",Added on 09 May 2020,4,5,"65,000,000"
4 bedroom detached duplex for sale,"  Lakeview Orchid, Lekki, Lagos",Added on 09 May 2020,4,5,"80,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Sapata Road- Applewood3 Estate, VGC, Lekki, Lagos",Added on 15 May 2020,4,,"40,000,000"
4 bedroom detached duplex for sale,"  Diamond Estate, Sangotedo, Ajah, Lagos",Added on 09 May 2020,4,4,"47,000,000"
5 bedroom semi-detached duplex for sale,"  Ikoyi, Lagos",Added on 09 May 2020,5,6,"300,000,000"
2 bedroom terraced duplex for sale,"  Urban Prime 2, Ogombo, Ajah, Lagos",Added on 09 May 2020,2,2,"35,000,000"
5 bedroom detached duplex for sale,"  Lekki County Homes, By Ikota Villa Estate, Ikota, Lekki, Lagos",Added on 09 May 2020,5,5,"120,000,000"
3 bedroom block of flats for sale,"  Along Dele Ogunbowale Crescent, Qmb Builder's Mart Road, Lekki Phase 1, Lekki, Lagos",Added on 09 May 2020,3,4,"55,000,000"
5 bedroom detached duplex for sale,"  Off Fola Osibo, Lekki Phase 1, Lekki, Lagos",Added on 09 May 2020,5,5,"260,000,000"
4 bedroom terraced duplex for sale,"  Lokogoma District, Abuja",Added on 09 May 2020,4,5,"90,000,000"
4 bedroom semi-detached duplex for sale,"  By Abraham Adesanya, Ajah, Lagos",Added on 09 May 2020,4,5,"38,000,000"
4 bedroom terraced duplex for sale,"  Lekki Scheme 2, Pennicula Garden , Abraham Adesanya Ajah, Ajiwe, Ajah, Lagos",Added on 09 May 2020,4,4,"40,000,000"
?,"  Lekki Scheme 2, Pennicula Garden , Abraham Adesanya Ajah, Ajiwe, Ajah, Lagos",?,4,4,"40,000,000"
4 bedroom terraced duplex for sale,"  Ikota, Lekki, Lagos",Added on 09 May 2020,4,4,"38,000,000"
5 bedroom detached duplex for sale,"  Lekki Phase 1, Lekki, Lagos",Added on 09 May 2020,5,5,"185,000,000"
2 bedroom detached bungalow for sale,"  Beechwood Park., Bogije, Ibeju Lekki, Lagos",Added on 07 May 2020,2,5,"15,862,500"
4 bedroom semi-detached duplex for sale,"  Lekki Gardens By Blenco Supermarket, Sangotedo, Ajah, Lagos",Added on 09 May 2020,4,5,"38,000,000"
Block of flats for sale,"  Agege, Lagos",Added on 09 May 2020,4,5,"35,000,000"
5 bedroom detached duplex for sale,"  Victory Estate, Thomas Estate, Lekki, Lagos",Added on 09 May 2020,5,5,"60,000,000"
5 bedroom detached duplex for sale,"  Victory Estate, Osapa, Lekki, Lagos",Added on 14 Mar 2020,5,5,"198,000,000"
4 bedroom semi-detached duplex for sale,"  Conservation Way, Lekki Phase 2, Lekki, Lagos",Added on 09 May 2020,4,4,"50,000,000"
6 bedroom detached duplex for sale,"  Old Ikoyi, Ikoyi, Lagos",Added on 08 May 2020,6,6,"1,100,000,000"
2 bedroom block of flats for sale,"  Meadow Hall Way, Bella Court, Ikate Elegushi, Lekki, Lagos",Added on 24 Apr 2020,2,2,"32,000,000"
4 bedroom detached duplex for sale,"  Chevron, Lekki, Lagos",Added on 08 May 2020,4,4,"75,000,000"
?,,?,,,
4 bedroom terraced duplex for sale,"  Lekki County Homes, Ikota, Lekki, Lagos",Added on 10 Aug 2020,4,5,"38,000,000"
4 bedroom detached duplex for sale,"  Cheveron., Lekki, Lagos",Added on 08 May 2020,4,4,"125,000,000"
3 bedroom block of flats for sale,"  Jahi, Abuja",Added on 08 May 2020,3,3,"35,000,000"
5 bedroom detached duplex for sale,"  Ogombo, Ajah, Lagos",Added on 06 May 2020,5,6,"26,000,000"
12 bedroom block of flats for sale,"  Asaba, Delta",Added on 07 Mar 2020,12,7,"25,000,000"
2 bedroom block of flats for sale,"  Iponri, Surulere, Lagos",Added on 07 May 2020,2,3,"25,000,000"
4 bedroom semi-detached duplex for sale,"  Agungi, Lekki, Lagos",Added on 08 May 2020,4,4,"57,000,000"
5 bedroom detached duplex for sale,"  Shangisha, GRA, Magodo, Lagos",Added on 08 May 2020,5,5,"130,000,000"
